콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0150CZE080,4010,E,373,178,2,150,110,10,고창JC-고창IC,0,101
0150CZE090,7910,E,178,180,2,150,110,11,고창IC-선운산IC,0,101
0150CZE100,9870,E,180,230,2,150,110,12,선운산IC-줄포IC,0,101
0150CZE110,16180,E,230,183,2,150,110,13,줄포IC-부안IC,0,101
0150CZE120,13930,E,183,187,2,150,110,14,부안IC-서김제IC,0,101
0150CZE130,12550,E,187,205,2,150,110,15,서김제IC-동군산IC,0,101
0150CZE140,8400,E,205,206,2,150,110,16,동군산IC-군산IC,0,101
0150CZE150,6220,E,206,417,2,150,110,17,군산IC-동서천JC,0,101
0150CZE160,8990,E,417,169,2,150,110,18,동서천JC-서천IC,0,101
0150CZE170,11910,E,169,88,2,150,110,19,서천IC-춘장대IC,0,101
0150CZE180,8710,E,88,86,2,150,110,20,춘장대IC-무창포IC,0,101
0150CZE190,11990,E,86,92,2,150,110,21,무창포IC-대천IC,0,101
0150CZE200,19720,E,92,94,2,150,110,22,대천IC-광천IC,0,101
0150CZE210,10800,E,94,45,2,150,110,23,광천IC-홍성IC,0,101
0150CZE220,13680,E,45,47,2,150,110,24,홍성IC-해미IC,0,101
0150CZE230,10720,E,47,51,2,150,110,25,해미IC-서산IC,0,101
0150CZE240,6580,E,51,53,2,150,110,26,서산IC-당진JC,0,101
0150CZE250,9370,E,53,54,3,150,110,27,당진JC-당진IC,0,101
0150CZE260,8070,E,54,55,3,150,110,28,당진IC-송악IC,0,101
0150CZE270,12640,E,55,299,3,150,110,29,송악IC-서평택IC,0,101
0150CZE280,6530,E,299,303,3,150,110,30,서평택IC-서평택JC,0,101
0150CZE290,7820,E,303,245,3,150,110,31,서평택JC-발안IC,0,101
0150CZE300,7870,E,245,1039,3,150,110,32,발안IC-팔탄JC,0,101
0150CZE305,5750,E,1039,240,3,150,110,33,팔탄JC-비봉IC,0,101
0150CZE310,4020,E,240,259,3,150,110,34,비봉IC-매송IC,0,101
0150CZE315,3800,E,259,490,3,150,100,35,매송IC-팔곡JC,0,101
0150CZE320,5120,E,490,319,3,150,100,36,팔곡JC-안산JC,0,101
0150CZE330,1410,E,319,330,3,150,100,37,안산JC-서서울TG,0,101
0150CZE340,1480,E,330,316,3,150,100,38,서서울TG-조남JC,0,101
0150CZE350,3160,E,316,315,3,150,100,39,조남JC-목감IC,0,101
0150CZE360,1150,E,315,278,4,150,100,40,목감IC-광명역IC,0,101
0150CZE370,2670,E,278,324,4,150,100,41,광명역IC-일직JC,0,101
0150CZE380,4200,E,324,231,2,150,100,42,일직JC-금천IC,0,101
0150CZE390,440,E,231,493,2,150,100,43,금천IC-서해안선종점,0,101
0150CZS005,260,S,192,492,2,150,110,43,목포IC-서해안선시점,0,101
0150CZS010,6000,S,193,192,2,150,110,42,일로IC-목포IC,0,101
0150CZS020,1040,S,208,193,2,150,110,41,목포TG-일로IC,0,101
0150CZS030,16240,S,194,208,2,150,110,40,무안IC-목포TG,0,101
0150CZS040,2460,S,377,194,2,150,110,39,함평JC-무안IC,0,101
0150CZS050,7810,S,195,377,2,150,110,38,함평IC-함평JC,0,101
0150CZS055,7850,S,1046,195,2,150,110,37,불갑산하이패스IC-함평IC,0,101
0150CZS060,16480,S,201,1046,2,150,110,36,영광IC-불갑산하이패스IC,0,101
0150CZS070,14790,S,373,201,2,150,110,35,고창JC-영광IC,0,101
0150CZS080,4010,S,178,373,2,150,110,34,고창IC-고창JC,0,101
0150CZS090,7910,S,180,178,2,150,110,33,선운산IC-고창IC,0,101
0150CZS100,9870,S,230,180,2,150,110,32,줄포IC-선운산IC,0,101
0150CZS110,16180,S,183,230,2,150,110,31,부안IC-줄포IC,0,101
0150CZS120,13930,S,187,183,2,150,110,30,서김제IC-부안IC,0,101
0150CZS130,12550,S,205,187,2,150,110,29,동군산IC-서김제IC,0,101
0150CZS140,8400,S,206,205,2,150,110,28,군산IC-동군산IC,0,101
0150CZS150,6220,S,417,206,2,150,110,27,동서천JC-군산IC,0,101
0150CZS160,8990,S,169,417,2,150,110,26,서천IC-동서천JC,0,101
0150CZS170,11910,S,88,169,2,150,110,25,춘장대IC-서천IC,0,101
0150CZS180,8710,S,86,88,2,150,110,24,무창포IC-춘장대IC,0,101
0150CZS190,11990,S,92,86,2,150,110,23,대천IC-무창포IC,0,101
0150CZS200,19720,S,94,92,2,150,110,22,광천IC-대천IC,0,101
0150CZS210,10800,S,45,94,2,150,110,21,홍성IC-광천IC,0,101
0150CZS220,13680,S,47,45,2,150,110,20,해미IC-홍성IC,0,101
0150CZS230,10720,S,51,47,2,150,110,19,서산IC-해미IC,0,101
0150CZS240,6580,S,53,51,2,150,110,18,당진JC-서산IC,0,101
0150CZS250,9370,S,54,53,3,150,110,17,당진IC-당진JC,0,101
0150CZS260,8070,S,55,54,3,150,110,16,송악IC-당진IC,0,101
0150CZS270,12640,S,299,55,3,150,110,15,서평택IC-송악IC,0,101
0150CZS280,6530,S,303,299,3,150,110,14,서평택JC-서평택IC,0,101
0150CZS290,7820,S,245,303,3,150,110,13,발안IC-서평택JC,0,101
0150CZS300,7870,S,1039,245,3,150,110,12,팔탄JC-발안IC,0,101
