"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202310","1000CZS240","1","18631","117.34","87","1285","1586","3.25","0.03","93","87","81","8","20231101083112","노오지JC","37.570317","126.753272","김포TG","37.602347","126.778451"
"202310","0201CZS050","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20231101083112","장수JC","35.731752","127.606757","장수IC","35.715910","127.589576"
"202310","0201CZE040","1","199619","102.41","555","8350","4","24.56","0.04","595","562","518","53","20231101083112","진안IC","35.772303","127.443616","장수IC","35.715910","127.589576"
"202310","0400CZE060","1","972699","86.23","426","72194","19","25.35","0.05","456","438","380","53","20231101083112","서안성IC","37.036405","127.163863","남안성IC","36.976113","127.243957"
"202310","0400CZS070","1","863523","89.62","783","89206","37","28.47","0.03","889","775","748","98","20231101083112","북진천IC","36.945424","127.449832","남안성IC","36.976113","127.243957"
"202310","0450CZE060","1","791656","91.99","642","89225","22","24.68","0.03","679","654","597","57","20231101083112","창녕IC","35.542562","128.476547","현풍JC","35.676423","128.434619"
"202310","0450CZS070","1","500996","91.77","419","80690","760","18.39","0.04","444","427","387","39","20231101083112","고령JC","35.757729","128.372588","현풍JC","35.676423","128.434619"
"202310","4510CZS010","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20231101083112","북현풍 하이패스 IC","","","현풍JC","35.676423","128.434619"
"202310","0450CZS110","1","424996","89.19","490","89081","28","18.93","0.03","518","498","456","43","20231101083112","김천JC","36.159476","128.266336","남김천IC","36.059275","128.267753"
"202310","0450CZE100","1","500586","95.03","633","89178","41","40.00","0.06","701","654","569","92","20231101083112","성주IC","35.919077","128.249447","남김천IC","36.059275","128.267753"
"202310","0450CZE080","1","507582","85.87","445","83023","1059","16.73","0.03","475","452","415","42","20231101083112","고령JC","35.757729","128.372588","남성주IC","35.841963","128.324691"
"202310","0450CZS090","1","437655","89.13","481","86078","746","22.31","0.04","520","488","443","53","20231101083112","성주IC","35.919077","128.249447","남성주IC","35.841963","128.324691"
"202310","0120CZS230","1","660227","98.56","350","0","0","8.75","0.02","363","352","336","18","20231101083112","옥포JC","35.791730","128.463921","고령JC","35.757729","128.372588"
"202310","0120CZE220","1","622967","101.44","70","88930","0","1.40","0.02","72","70","67","3","20231101083112","동고령IC","35.753348","128.359019","고령JC","35.757729","128.372588"
"202310","0450CZE070","1","524723","90.63","425","80104","773","26.86","0.06","455","441","383","50","20231101083112","현풍JC","35.676423","128.434619","고령JC","35.757729","128.372588"
"202310","0450CZS080","1","483999","92.70","412","82915","1088","20.05","0.04","446","421","376","49","20231101083112","남성주IC","35.841963","128.324691","고령JC","35.757729","128.372588"
"202310","0201CZS040","1","264060","94.22","603","7774","64","36.44","0.06","658","618","549","76","20231101083112","장수IC","35.715910","127.589576","진안IC","35.772303","127.443616"
"202310","0201CZE030","1","267367","93.74","1021","16702","15","50.19","0.04","1131","1033","947","128","20231101083112","소양IC","35.864405","127.236594","진안IC","35.772303","127.443616"
"202310","0121CZS040","1","639606","103.25","181","88064","1017","2.77","0.01","185","181","176","6","20231101083112","문평IC","35.067045","126.597271","동함평IC","35.050709","126.545749"
"202310","0121CZE030","1","490481","101.83","200","88272","345","4.52","0.02","208","200","193","10","20231101083112","함평JC","35.029384","126.485722","동함평IC","35.050709","126.545749"
"202310","0121CZE050","1","621051","101.88","349","89020","80","6.41","0.01","373","348","341","22","20231101083112","문평IC","35.067045","126.597271","나주IC","35.101566","126.695815"
"202310","0121CZS060","1","657175","101.42","141","89169","72","2.68","0.01","148","142","137","7","20231101083112","서광산IC","35.118386","126.732373","나주IC","35.101566","126.695815"
"202310","0121CZS010","1","37430","101.18","116","8917","544","1.87","0.01","121","116","113","5","20231101083112","북무안IC","35.014208","126.434455","무안공항IC","35.002621","126.389741"
"202310","0010CZS330","1","1614101","78.43","178","86894","0","5.66","0.03","193","177","167","18","20231101083112","남이JC","36.597771","127.420666","청주JC","36.564767","127.430741"
"202310","0010CZS330","2","18044","96.67","144","15700","0","3.47","0.02","153","143","141","8","20231101083112","남이JC","36.597771","127.420666","청주JC","36.564767","127.430741"
"202310","0010CZE320","1","1487273","91.70","139","89240","40","9.93","0.07","190","138","129","42","20231101083112","남청주IC","36.533699","127.430282","청주JC","36.564767","127.430741"
"202310","0010CZE320","2","19931","119.34","107","16800","0","1.26","0.01","108","106","105","2","20231101083112","남청주IC","36.533699","127.430282","청주JC","36.564767","127.430741"
"202310","0300CZS130","1","127498","97.26","299","8920","86","7.05","0.02","324","299","288","25","20231101083112","문의청남대IC","36.529754","127.507764","청주JC","36.564767","127.430741"
"202310","0300CZE130","1","655788","92.86","313","0","0","13.24","0.04","330","319","293","25","20231101083112","청주JC","36.564767","127.430741","문의청남대IC","36.529754","127.507764"
"202310","0300CZS140","1","821835","91.48","421","88185","64","11.25","0.02","439","423","391","33","20231101083112","회인IC","36.486916","127.608721","문의청남대IC","36.529754","127.507764"
"202310","0300CZE140","1","838968","91.36","421","89112","44","19.09","0.04","453","430","389","44","20231101083112","문의청남대IC","36.529754","127.507764","회인IC","36.486916","127.608721"
"202310","0300CZS150","1","805577","94.69","410","0","0","16.82","0.04","450","415","370","56","20231101083112","보은IC","36.456806","127.720315","회인IC","36.486916","127.608721"
"202310","0300CZE150","1","821993","97.75","397","0","0","19.77","0.04","428","406","363","45","20231101083112","회인IC","36.486916","127.608721","보은IC","36.456806","127.720315"
"202310","0300CZS160","1","718220","94.38","228","89203","46","7.85","0.03","238","231","214","16","20231101083112","속리산IC","36.455512","127.787160","보은IC","36.456806","127.720315"
"202310","0300CZE160","1","731179","95.32","226","89201","50","8.68","0.03","236","230","213","16","20231101083112","보은IC","36.456806","127.720315","속리산IC","36.455512","127.787160"
"202310","0300CZS170","1","696077","96.32","287","87179","0","9.61","0.03","299","290","271","19","20231101083112","구병산 하이패스IC","","","속리산IC","36.455512","127.787160"
"202310","0300CZE170","1","652623","93.78","621","89048","33","29.14","0.04","675","636","576","69","20231101083112","속리산IC","36.455512","127.787160","화서IC","36.442431","127.962502"
"202310","0300CZS180","1","702074","93.63","730","77","0","25.09","0.03","798","740","687","77","20231101083112","남상주IC","36.367757","128.140280","화서IC","36.442431","127.962502"
"202310","0300CZE180","1","695948","92.57","738","0","0","41.56","0.05","895","744","674","154","20231101083112","화서IC","36.442431","127.962502","남상주IC","36.367757","128.140280"
"202310","0300CZS190","1","662040","97.88","334","89166","35","13.88","0.04","354","340","309","31","20231101083112","낙동JC","36.366317","128.239117","남상주IC","36.367757","128.140280"
"202310","0450CZS140","1","850724","102.03","254","89157","25","11.72","0.04","280","255","233","32","20231101083112","상주IC","36.423025","128.213262","낙동JC","36.366317","128.239117"
